ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml
mirna_pre::mirbase_pre::hsa-mir-1279::MI0006426	1	0.9947834188948488	1	NA
mirna_pre::mirbase_pre::hsa-mir-127::MI0000472	1	0.9950240149786165	1	NA
mirna_pre::mirbase_pre::hsa-mir-128-1::MI0000447	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-128-2::MI0000727	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1281::MI0006428	1	0.999987756097179	1	NA
mirna_pre::mirbase_pre::hsa-mir-1282::MI0006429	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1283-1::MI0003832	1	0.9860675629220941	1	NA
mirna_pre::mirbase_pre::hsa-mir-1283-2::MI0006430	1	0.998312166609648	1	NA
mirna_pre::mirbase_pre::hsa-mir-1284::MI0006431	1	0.9993494561203617	1	NA
mirna_pre::mirbase_pre::hsa-mir-1285-1::MI0006346	1	0.9915043065278472	1	NA
mirna_pre::mirbase_pre::hsa-mir-1285-2::MI0006347	1	0.9981227666407936	1	NA
mirna_pre::mirbase_pre::hsa-mir-1286::MI0006348	1	1.0000000000000002	1	NA
mirna_pre::mirbase_pre::hsa-mir-1287::MI0006349	1	0.9984103184904791	1	NA
mirna_pre::mirbase_pre::hsa-mir-1288::MI0006432	1	0.9963654402537281	1	NA
mirna_pre::mirbase_pre::hsa-mir-1289-1::MI0006350	1	0.9998870375784704	1	NA
mirna_pre::mirbase_pre::hsa-mir-1289-2::MI0006351	1	0.9999740012270207	1	NA
mirna_pre::mirbase_pre::hsa-mir-129-1::MI0000252	0.256406162150504	0.9892798961316807	0.460802317269011	0.9875
mirna_pre::mirbase_pre::hsa-mir-129-2::MI0000473	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1290::MI0006352	1	0.9999564306383248	1	NA
mirna_pre::mirbase_pre::hsa-mir-1291::MI0006353	1	0.9926791695285107	1	NA
mirna_pre::mirbase_pre::hsa-mir-1292::MI0006433	1	0.9999613134579444	1	NA
mirna_pre::mirbase_pre::hsa-mir-1293::MI0006355	1	0.9918016912450656	1	NA
mirna_pre::mirbase_pre::hsa-mir-1294::MI0006356	1	0.9975068328475765	1	NA
mirna_pre::mirbase_pre::hsa-mir-1295a::MI0006357	0.0195563893902135	0.9987646936153141	0.119890650271484	0.33649
mirna_pre::mirbase_pre::hsa-mir-1295b::MI0019146	0.0122385990212656	0.9987646936153141	0.0780647307131789	0.30672
mirna_pre::mirbase_pre::hsa-mir-1296::MI0003780	1	0.9912960619690909	1	NA
mirna_pre::mirbase_pre::hsa-mir-1297::MI0006358	1	0.9998917847144633	1	NA
mirna_pre::mirbase_pre::hsa-mir-1298::MI0003938	1	0.9940090746541285	1	NA
mirna_pre::mirbase_pre::hsa-mir-1299::MI0006359	1	1.0000000000000002	1	NA
mirna_pre::mirbase_pre::hsa-mir-1301::MI0003815	1	0.9999998109245457	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-10::MI0015979	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-11::MI0015980	1	0.9999999026445886	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-1::MI0006362	1	0.9992905511472694	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-2::MI0006363	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-3::MI0006364	1	0.9988774839885366	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-4::MI0006365	0.372372375598547	0.9921845713533964	0.724005189679794	0.03268
mirna_pre::mirbase_pre::hsa-mir-1302-5::MI0006366	1	0.9999997764900274	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-6::MI0006367	1	0.9907001797063848	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-7::MI0006368	0.29896188434563	0.023972834672087613	0.626151553898763	0.16304
mirna_pre::mirbase_pre::hsa-mir-1302-8::MI0006369	1	0.9940224888366487	1	NA
mirna_pre::mirbase_pre::hsa-mir-1302-9::MI0015978	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1303::MI0006370	1	0.9997202622715379	1	NA
mirna_pre::mirbase_pre::hsa-mir-1304::MI0006371	1	0.9990287462144882	1	NA
mirna_pre::mirbase_pre::hsa-mir-1305::MI0006372	1	0.9999997875003789	1	NA
mirna_pre::mirbase_pre::hsa-mir-1306::MI0006443	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-1307::MI0006444	1	0.9994179451841838	1	NA
mirna_pre::mirbase_pre::hsa-mir-130a::MI0000448	1	0.9994495074595382	1	NA
mirna_pre::mirbase_pre::hsa-mir-130b::MI0000748	0.120201512617718	1.0	0.401544564006759	0.94305
mirna_pre::mirbase_pre::hsa-mir-1321::MI0006652	1	0.992955029150365	1	NA
mirna_pre::mirbase_pre::hsa-mir-1322::MI0006653	1	0.9996146021743796	1	NA
mirna_pre::mirbase_pre::hsa-mir-1323::MI0003786	1	0.9860675629220941	1	NA
mirna_pre::mirbase_pre::hsa-mir-1324::MI0006657	1	0.9996768838076944	1	NA
mirna_pre::mirbase_pre::hsa-mir-132::MI0000449	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-133a-1::MI0000450	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-133a-2::MI0000451	0.414317880451014	0.992533043224294	0.570882079205795	NA
mirna_pre::mirbase_pre::hsa-mir-133b::MI0000822	1	0.9999912088043381	1	NA
mirna_pre::mirbase_pre::hsa-mir-1343::MI0017320	0.209036394821495	1.0	0.350769911602469	0.38789
mirna_pre::mirbase_pre::hsa-mir-134::MI0000474	1	0.9984555117367	1	NA
mirna_pre::mirbase_pre::hsa-mir-135a-1::MI0000452	0.178062124581786	0.2338696433469728	0.455179058740566	0.091
mirna_pre::mirbase_pre::hsa-mir-135a-2::MI0000453	0.365528507943028	0.37755178852194504	0.698240347930664	0.23604
mirna_pre::mirbase_pre::hsa-mir-135b::MI0000810	1	0.998840095932907	1	NA
mirna_pre::mirbase_pre::hsa-mir-136::MI0000475	1	0.9953450749560686	1	NA
mirna_pre::mirbase_pre::hsa-mir-137::MI0000454	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-138-1::MI0000476	1	0.990057255362702	1	NA
mirna_pre::mirbase_pre::hsa-mir-138-2::MI0000455	1	0.9999999999999999	1	NA
mirna_pre::mirbase_pre::hsa-mir-139::MI0000261	0.224605134434426	0.19557681367877572	0.425695036026194	0.10125
mirna_pre::mirbase_pre::hsa-mir-140::MI0000456	1	0.3376194825219637	0.415142784902705	0.31019
mirna_pre::mirbase_pre::hsa-mir-141::MI0000457	1	0.9983684231790041	1	NA
mirna_pre::mirbase_pre::hsa-mir-142::MI0000458	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-143::MI0000459	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-144::MI0000460	1	0.9987915713856516	1	NA
mirna_pre::mirbase_pre::hsa-mir-145::MI0000461	1	0.9962426704357287	1	NA
mirna_pre::mirbase_pre::hsa-mir-1468::MI0003782	1	0.999972422938481	1	NA
mirna_pre::mirbase_pre::hsa-mir-1469::MI0007074	1	0.9940913887674051	1	NA
mirna_pre::mirbase_pre::hsa-mir-146a::MI0000477	0.0749056390641475	0.010700292991937237	0.253961992573658	0.04675
mirna_pre::mirbase_pre::hsa-mir-146b::MI0003129	1	0.9917543857703657	1	NA
mirna_pre::mirbase_pre::hsa-mir-1470::MI0007075	1	0.9999780002460474	1	NA
mirna_pre::mirbase_pre::hsa-mir-1471::MI0007076	0.201719111554893	0.9999590062656977	0.325063941267692	0.89004
mirna_pre::mirbase_pre::hsa-mir-147a::MI0000262	1	0.9964798456527799	1	NA
mirna_pre::mirbase_pre::hsa-mir-147b::MI0005544	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-148a::MI0000253	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-148b::MI0000811	0.183464249814353	0.14188052077724847	0.518480990733624	0.35804
mirna_pre::mirbase_pre::hsa-mir-149::MI0000478	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-150::MI0000479	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-151a::MI0000809	1	0.9973891730027438	1	NA
mirna_pre::mirbase_pre::hsa-mir-151b::MI0003772	1	0.9956594486216125	1	NA
mirna_pre::mirbase_pre::hsa-mir-152::MI0000462	1	0.9999929133444222	1	NA
mirna_pre::mirbase_pre::hsa-mir-153-1::MI0000463	1	0.9998735645605953	1	NA
mirna_pre::mirbase_pre::hsa-mir-153-2::MI0000464	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-1537::MI0007258	1	0.9944683368449077	1	NA
mirna_pre::mirbase_pre::hsa-mir-1538::MI0007259	0.0914080717153347	0.9934446029630591	0.281898627435155	0.69386
mirna_pre::mirbase_pre::hsa-mir-1539::MI0007260	1	0.994871387716322	1	NA
mirna_pre::mirbase_pre::hsa-mir-154::MI0000480	0.0409711999008626	0.9934923855737745	0.183933429292333	0.81215
mirna_pre::mirbase_pre::hsa-mir-155::MI0000681	0.149090049572051	0.10191239993750253	0.477811325421139	0.96695
mirna_pre::mirbase_pre::hsa-mir-1587::MI0016905	1	0.9999980634028465	1	NA
mirna_pre::mirbase_pre::hsa-mir-15a::MI0000069	1	0.9999999999999998	1	NA
mirna_pre::mirbase_pre::hsa-mir-15b::MI0000438	1	0.9972309931721749	1	NA
mirna_pre::mirbase_pre::hsa-mir-16-1::MI0000070	1	0.9980982910713295	1	NA
mirna_pre::mirbase_pre::hsa-mir-16-2::MI0000115	1	0.9972309931721749	1	NA
mirna_pre::mirbase_pre::hsa-mir-17::MI0000071	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-181a-1::MI0000289	0.682822409887084	0.17600116303110544	0.791232506847292	0.27923
mirna_pre::mirbase_pre::hsa-mir-181a-2::MI0000269	1	0.9986627882247563	1	NA
mirna_pre::mirbase_pre::hsa-mir-181b-1::MI0000270	0.692667028527773	0.07829557435801937	0.788753284503501	0.50557
mirna_pre::mirbase_pre::hsa-mir-181b-2::MI0000683	1	0.9986627882247563	1	NA
mirna_pre::mirbase_pre::hsa-mir-181c::MI0000271	1	0.9939758136760898	1	NA
mirna_pre::mirbase_pre::hsa-mir-181d::MI0003139	0.275093346064964	0.11031378060675365	0.568218144543073	0.18374
mirna_pre::mirbase_pre::hsa-mir-1825::MI0008193	1	0.9994106384665044	1	NA
mirna_pre::mirbase_pre::hsa-mir-1827::MI0008195	1	0.996059673799239	1	NA
mirna_pre::mirbase_pre::hsa-mir-182::MI0000272	1	1.0	1	NA
mirna_pre::mirbase_pre::hsa-mir-183::MI0000273	1	0.9998307980972986	1	NA
mirna_pre::mirbase_pre::hsa-mir-184::MI0000481	1	1.0	1	NA
