Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
ZL208837	31	107	103	51	182	69	0
ZL208845	119	419	236	173	148	0	0
ZL208850	56	310	0	0	153	364	0
ZL208856	0	435	218	0	0	0	0
ZL208921	0	33	191	61	141	0	0
ZL208964	51	125	198	64	151	82	0
ZL209052	41	221	201	593	153	0	0
ZL209059	62	126	0	93	62	67	0
ZL209069	212	634	168	103	0	0	0
ZL209078	42	279	273	276	205	0	0
ZL209088	431	303	0	199	0	532	0
ZL209090	0	363	90	43	0	0	0
ZL209137	60	361	309	75	0	0	0
ZL209139	67	394	265	0	0	0	0
ZL209162	0	501	305	0	177	0	0
ZL209192	57	302	311	122	148	124	0
ZL209237	77	589	178	122	0	0	0
ZL209265	0	242	173	69	76	0	0
ZL209270	41	132	180	66	162	0	0
ZL209281	0	450	181	0	296	0	0
ZL209283	36	90	277	71	70	110	0
ZL209318	73	169	180	71	217	113	0
ZL209319	82	200	179	92	88	0	0
ZL209342	50	173	277	140	135	146	0
ZL209356	38	239	252	0	98	0	0
ZL209364	67	217	421	449	0	0	0
ZL209372	0	0	21	5	0	13	0
ZL209387	0	0	68	11	0	0	0
ZL209390	43	129	176	78	0	0	0
ZL209397	0	201	209	86	305	0	0
ZL209398	169	256	0	0	461	486	0
ZL209404	0	0	0	1	0	0	2
ZL209456	0	1	0	0	0	2	0
ZL209483	140	425	190	92	0	120	0
ZL209518	56	243	238	336	0	0	0
ZL209519	73	898	0	0	156	190	0
ZL209543	61	299	203	0	110	0	0
ZL209566	0	217	194	0	162	0	0
ZL209579	0	338	296	196	144	0	0
ZL209581	0	350	265	347	0	0	0
ZL209590	101	201	176	60	0	89	0
ZL209640	39	148	210	49	70	0	0
ZL209645	94	344	169	109	0	0	0
ZL209672	0	203	173	201	286	0	0
ZL209700	0	204	167	0	90	0	0
ZL209753	0	319	0	0	339	223	0
ZL209773	47	205	0	120	0	167	0
ZL209937	22436	5175	0	0	0	0	0
ZL210018	39	164	156	77	0	0	0
ZL210024	142	372	226	339	0	0	0
ZL210047	0	186	122	53	188	91	0
ZL210086	115	353	704	0	0	417	0
ZL210088	0	133	214	60	76	0	0
ZL210124	41	234	316	105	287	0	0
ZL210126	62	408	233	168	0	0	0
ZL210128	150	212	0	112	100	544	0
ZL210133	0	342	0	660	321	0	0
ZL210141	49	336	238	0	237	0	0
ZL210168	45	115	205	69	181	202	0
ZL210182	0	354	0	0	0	101	0
ZL210192	0	380	332	0	0	0	0
ZL210193	58	175	164	133	0	0	0
ZL210198	0	17	48	0	52	37	0
ZL210222	24	181	158	0	0	0	0
ZL210245	0	315	195	67	0	0	0
ZL210261	0	293	229	219	0	0	0
ZL210323	60	429	276	0	205	240	0
ZL210353	40	350	274	67	0	0	0
ZL210362	0	433	239	0	159	0	0
ZL210390	0	426	206	77	0	0	0
ZL210396	172	417	0	122	143	132	0
ZL210399	23	309	86	53	0	0	0
ZL210424	0	96	121	30	55	0	0
ZL210445	0	24	53	21	0	0	0
ZL210460	48	344	304	0	169	0	0
ZL210522	0	286	233	508	232	0	0
ZL210798	0	105	128	82	63	68	0
ZL210842	59	474	176	0	114	221	0
ZL210860	75	278	341	88	226	0	0
ZL210905	0	0	151	156	61	0	0
ZL210917	0	0	0	4	0	0	0
ZL210961	0	235	271	737	0	0	0
ZL211081	56	383	172	79	169	0	0
ZL211093	0	0	0	3	0	0	0
ZL211372	0	277	76	108	0	0	0
ZL211383	44	283	233	110	148	0	0
ZL211402	0	328	151	77	0	131	0
ZL211456	0	423	363	0	196	0	0
ZL211498	55	413	379	115	164	0	0
ZL211549	0	189	200	0	103	94	0
ZL211583	0	334	336	141	0	314	0
ZL211599	0	212	292	242	101	0	0
ZL211606	239	95	0	656	242	0	0
ZL211643	56	216	146	429	147	0	0
ZL211653	50	237	168	0	189	0	0
ZL211683	32	243	184	161	0	231	0
ZL211693	0	275	258	0	122	0	0
ZL211703	32	213	179	74	0	0	0
ZL211704	40	252	270	85	0	149	0
ZL211707	0	1	0	0	1	0	0
ZL211709	59	374	301	90	131	0	0
ZL211710	71	267	241	161	134	0	0
ZL211720	44	195	290	129	164	110	0
ZL211733	0	269	0	0	0	375	0
ZL211761	50	205	207	368	0	100	0
ZL211768	32	324	122	0	70	0	0
ZL211789	0	0	4	0	0	5	0
ZL211817	30	122	104	40	46	83	0
ZL211826	79	448	374	167	0	0	0
ZL211827	0	151	0	0	100	395	0
ZL211828	0	170	161	126	108	0	0
ZL211891	30	185	252	76	97	0	0
ZL211921	0	296	226	85	225	0	0
ZL211953	35	232	0	84	79	101	0
ZL211974	73	263	0	0	169	341	0
ZL211976	0	239	228	0	141	0	0
ZL212037	25	211	165	74	173	0	0
ZL212061	0	12	68	23	0	55	0
ZL212063	0	478	0	0	121	127	0
ZL212068	17	150	102	36	0	0	0
ZL212097	66	373	222	0	128	0	0
ZL212098	24	76	140	0	71	0	0
ZL212237	61	189	646	98	0	0	0
ZL212250	97	311	141	74	129	0	0
ZL212278	19	48	247	103	0	0	0
ZL212293	40	222	313	0	133	0	0
ZL212299	65	242	183	85	0	0	0
ZL212357	41	198	169	0	168	0	0
ZL212392	0	190	163	50	188	0	0
ZL212423	0	342	0	386	355	0	0
ZL212425	0	403	132	187	314	0	0
ZL212433	27284	0	0	0	0	0	0
ZL212462	0	344	239	0	0	122	0
ZL212505	78	274	170	0	308	127	0
ZL212534	0	736	0	0	145	0	0
ZL212590	0	416	343	1034	0	0	0
ZL212614	0	179	0	210	364	332	0
ZL212645	40	195	120	80	75	0	0
ZL212991	21	160	0	0	116	50	0
ZL213246	0	236	165	0	108	0	0
ZL213328	40	136	241	70	107	0	0
ZL213518	0	263	268	738	0	0	0
ZL213692	0	28	0	0	0	0	0
ZL213785	0	321	153	0	173	0	0
ZL213801	0	222	284	0	122	0	0
