ID	ActiveDriverWGS	MutSig2CV_NC	NBR	oncodrivefml	Brown_observed	Fisher_observed	Brown_Scale_C_observed	Brown_DF_observed
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00178.5p-miR::TJU_CMC_MD2.ID00178.5p-miR	1	0.998347991727929	1	NA	0.999985209329069	0.999999999247643	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00179.3p-miR::TJU_CMC_MD2.ID00179.3p-miR	1	0.998347991727929	1	NA	0.999985209329069	0.999999999247643	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00180.5p-miR::TJU_CMC_MD2.ID00180.5p-miR	0.0240452152718657	0.0240405214334977	0.138558322057158	0.30071	0.0230048740522848	0.00646902584068488	1.68599821775362	4.74496349744602
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00181.5p-miR::TJU_CMC_MD2.ID00181.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00182.5p-miR::TJU_CMC_MD2.ID00182.5p-miR	1	0.998253708342666	1	NA	0.999983899691651	0.999999999111273	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00183.3p-miR::TJU_CMC_MD2.ID00183.3p-miR	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00183.5p-miR::TJU_CMC_MD2.ID00183.5p-miR	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00184.3p-miR::TJU_CMC_MD2.ID00184.3p-miR	1	0.999778346446519	1	NA	0.999999313053596	0.999999999998185	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00185.5p-miR::TJU_CMC_MD2.ID00185.5p-miR	1	0.990031365764092	1	NA	0.999768633352448	0.999999833653224	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00186.5p-miR::TJU_CMC_MD2.ID00186.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00187.3p-miR::TJU_CMC_MD2.ID00187.3p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00188.3p-miR::TJU_CMC_MD2.ID00188.3p-miR	1	0.999572700531246	1	NA	0.999998127237946	0.999999999986993	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00189.5p-miR::TJU_CMC_MD2.ID00189.5p-miR	1	0.999645805599021	1	NA	0.999998594067661	0.999999999992592	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00190.3p-miR::TJU_CMC_MD2.ID00190.3p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00191.5p-miR::TJU_CMC_MD2.ID00191.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00192.3p-miR::TJU_CMC_MD2.ID00192.3p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00193.5p-miR::TJU_CMC_MD2.ID00193.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00194.3p-miR::TJU_CMC_MD2.ID00194.3p-miR	1	0.999985805399325	1	NA	0.999999989688055	1	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00195.3p-miR::TJU_CMC_MD2.ID00195.3p-miR	1	NA	1	NA	1	1	1.7188699154899	2.32711036708089
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00196.3p-miR::TJU_CMC_MD2.ID00196.3p-miR	1	0.994008037642012	1	NA	0.999893889939182	0.999999963982639	1.96357211035013	3.05565554143572
mirna_mat::tjumirna_mature::TJU_CMC_MD2.ID00197.5p-miR::TJU_CMC_MD2.ID00197.5p-miR	1	1	1	NA	1	1	1.96357211035013	3.05565554143572
