MutationType	ZL-201155	ZL-201204T	ZL-201948	ZL-201999	ZL-202025	ZL-202046	ZL-202056	ZL-202079	ZL009041	ZL026642	ZL033326	ZL040761	ZL054594	ZL093073	ZL094531	ZL094587	ZL098594	ZL098834	ZL099873	ZL117411	ZL119464	ZL122906	ZL130896	ZL135285	ZL143005	ZL144459	ZL145150	ZL154137T	ZL160571	ZL160658	ZL163085	ZL163503	ZL165633	ZL166217	ZL169282	ZL170022	ZL171919	ZL173347	ZL173419	ZL173520	ZL176154	ZL183080	ZL183247	ZL185536	ZL187056T	ZL187784	ZL193447	ZL200007	ZL200095	ZL200191	ZL200205	ZL200206	ZL200236	ZL200258	ZL200312	ZL200387	ZL200509	ZL200531	ZL200638	ZL200746T	ZL200881T	ZL200942T	ZL200989T	ZL200995T	ZL201029T	ZL201057T	ZL201059T	ZL201074T	ZL201109T	ZL201144T	ZL201217T	ZL201238T	ZL201286T	ZL201292T	ZL201309T	ZL201325T	ZL201360T	ZL201378T	ZL201381T	ZL201403T	ZL201425T	ZL201450T	ZL201482T	ZL201509T	ZL201537T	ZL201557T	ZL201573T	ZL201645K	ZL201703T	ZL201949T	ZL202004T	ZL202165T	ZL202470	ZL202543T	ZL202690T	ZL202883	ZL203330	ZL203405T	ZL203684T	ZL203719T	ZL1056056	ZL1095842	ZL1132727	ZL1134324	ZL1135196	ZL1135526	ZL1135687	ZL1135777	ZL1135893	ZL1135916	ZL1136162	ZL1136289	ZL1136315	ZL1136555	ZL1136727	ZL1136761	ZL1137133	ZL1137172	ZL1137270	ZL1137379	ZL1137449	ZL1137632	ZL1137732	ZL1137748	ZL1137810	ZL1137816	ZL1138220	ZL1138247	ZL1138279	ZL1138297	ZL1138367	ZL1138649	ZL1138854	ZL1138867	ZL1139109	ZL1139195	ZL1139220	ZL1139421	ZL1139424	ZL1139564	ZL1139784	ZL1139936	ZL1139961	ZL1139972	ZL1140305	ZL1140523	ZL1140557	ZL1140665	ZL1141052	ZL1141078	ZL1141129	ZL1141141	ZL1141184	ZL1141410	ZL1141532	ZL203817T	ZL203846T	ZL204186T	ZL204195T	ZL204255T	ZL204283	ZL204310T	ZL204311T	ZL204365	ZL204405T	ZL204460T	ZL204484T	ZL204527	ZL204697T	ZL205085	ZL205563	ZL206293	ZL206427	ZL206489	ZL206535	ZL206558	ZL206640	ZL206724	ZL206733	ZL206735	ZL206748	ZL206763	ZL206773	ZL206777	ZL206783	ZL206797	ZL206838	ZL206853	ZL206871	ZL206878	ZL206884	ZL206888	ZL206915	ZL206918	ZL206920	ZL206924	ZL206939	ZL206956	ZL206962	ZL206990	ZL206993	ZL207022	ZL207039	ZL207045	ZL207048	ZL207056	ZL207061	ZL207066	ZL207079	ZL207103	ZL207105	ZL207125	ZL207165	ZL207195	ZL207197	ZL207206	ZL207219	ZL207264	ZL207278	ZL207281	ZL207288	ZL207295	ZL207350	ZL207353	ZL207357	ZL207365	ZL207366	ZL207393	ZL207402	ZL207405	ZL207445	ZL207452	ZL207455	ZL207484	ZL207492	ZL207513	ZL207523	ZL207525	ZL207527	ZL207551	ZL207587	ZL207640	ZL207656	ZL207657	ZL207667	ZL207675	ZL207686	ZL207714	ZL207732	ZL207783	ZL207806	ZL207826	ZL207852	ZL207866	ZL207878	ZL207879	ZL207887	ZL207888	ZL207891	ZL207904	ZL207916	ZL207917	ZL207920	ZL207931	ZL207958	ZL207961	ZL207966	ZL207975	ZL208000	ZL208008	ZL208010	ZL208013	ZL208016	ZL208039	ZL208043	ZL208069	ZL208079	ZL208105	ZL208108	ZL208122	ZL208124	ZL208125	ZL208131	ZL208137	ZL208146	ZL208150	ZL208180	ZL208202	ZL208213	ZL208214	ZL208215	ZL208231	ZL208250	ZL208275	ZL208283	ZL208289	ZL208320	ZL208379	ZL208386	ZL208387	ZL208401	ZL208439	ZL208444	ZL208449	ZL208452	ZL208465	ZL208480	ZL208501	ZL208523	ZL208526	ZL208528	ZL208535	ZL208564	ZL208566	ZL208592	ZL208611	ZL208626	ZL208634	ZL208658	ZL208685	ZL208701	ZL208705	ZL208723	ZL208735	ZL208740	ZL208773	ZL208788	ZL208801	ZL208818	ZL208837	ZL208845	ZL208850	ZL208856	ZL208921	ZL208964	ZL209052	ZL209059	ZL209069	ZL209078	ZL209088	ZL209090	ZL209137	ZL209139	ZL209162	ZL209192	ZL209237	ZL209265	ZL209270	ZL209281	ZL209283	ZL209318	ZL209319	ZL209342	ZL209356	ZL209364	ZL209372	ZL209387	ZL209390	ZL209397	ZL209398	ZL209404	ZL209456	ZL209483	ZL209518	ZL209519	ZL209543	ZL209566	ZL209579	ZL209581	ZL209590	ZL209640	ZL209645	ZL209672	ZL209700	ZL209753	ZL209773	ZL209937	ZL210018	ZL210024	ZL210047	ZL210086	ZL210088	ZL210124	ZL210126	ZL210128	ZL210133	ZL210141	ZL210168	ZL210182	ZL210192	ZL210193	ZL210198	ZL210222	ZL210245	ZL210261	ZL210323	ZL210353	ZL210362	ZL210390	ZL210396	ZL210399	ZL210424	ZL210445	ZL210460	ZL210522	ZL210798	ZL210842	ZL210860	ZL210905	ZL210917	ZL210961	ZL211081	ZL211093	ZL211372	ZL211383	ZL211402	ZL211456	ZL211498	ZL211549	ZL211583	ZL211599	ZL211606	ZL211643	ZL211653	ZL211683	ZL211693	ZL211703	ZL211704	ZL211707	ZL211709	ZL211710	ZL211720	ZL211733	ZL211761	ZL211768	ZL211789	ZL211817	ZL211826	ZL211827	ZL211828	ZL211891	ZL211921	ZL211953	ZL211974	ZL211976	ZL212037	ZL212061	ZL212063	ZL212068	ZL212097	ZL212098	ZL212237	ZL212250	ZL212278	ZL212293	ZL212299	ZL212357	ZL212392	ZL212423	ZL212425	ZL212433	ZL212462	ZL212505	ZL212534	ZL212590	ZL212614	ZL212645	ZL212991	ZL213246	ZL213328	ZL213518	ZL213692	ZL213785	ZL213801	ZL213836	ZL214548	ZL214774	ZL215712	ZL217568	ZL217739	ZL471600	ZL685304	ZL724573	ZL769907	ZL788093	ZL811557	ZL838091	ZL885253	ZL903239	ZL904678	ZL981061	ZL984521	ZL995439	ZL998638
4:Del:R:4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	7	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	1	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0
4:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	4	19	18	9	14	26	15	22	26	25	26	0	31	21	23	33	30	29	32	25	35	31	41	16	29	45	39	14	31	25	19	23	13	9	21	11	24	7	38	19	20	35	2	59	8	20	23	26	30	20	25	15	13	16	6	39	25	10	9	20	24	19	12	24	27	17	17	27	16	15	7	23	22	16	20	11	9	6	28	24	14	19	25	24	18	29	24	39	22	39	37	23	19	22	40	19	19	16	24	19	8	42	26	19	36	26	30	16	16	34	18	42	0	18	29	32	12	0	18	0	21	16	32	50	12	29	165	14	16	18	12	16	28	22	31	26	11	25	15	34	22	17	29	44	8	16	19	23	25	33	21	37	23	32	27	20	33	23	9	38	25	23	14	21	28	23	15	25	25	21	28	27	29	16	13	16	17	18	0	26	27	0	16	47	21	12	33	36	11	16	39	36	7	51	20	20	40	10	15	23	35	12	24	8	14	17	14	15	29	5	20	9	22	19	30	23	9	10	52	28	6	14	18	11	13	18	25	38	1	13	47	38	38	22	32	22	10	39	20	23	28	16	32	28	36	15	41	10	32	24	7	32	5	37	29	22	24	32	25	14	30	24	29	0	19	29	27	16	31	23	27	20	26	14	6	24	18	16	32	24	17	18	48	25	15	32	18	21	5	46	35	23	17	18	18	22	41	27	86	7	10	13	17	13	34	30	10	34	23	23	34	4	23	22	27	20	26	16	13	45	39	21	19	16	11	18	0	29	29	24	20	30	14	16	22	29	11	13	26	35	13	33	25	19	42	20	10	22	31	37	32	12	50	24	38	2	15	16	23	33	0	0	29	15	15	31	14	30	23	26	16	13	19	17	26	17	25	14	18	32	163	22	34	26	43	19	22	40	10	29	17	7	13	15	16	52	22	21	12	22	11	12	4	28	25	14	32	41	20	0	25	20	0	7	27	20	30	38	31	51	22	15	20	19	48	20	14	44	0	30	32	45	23	19	10	1	14	43	32	18	21	18	12	28	20	21	12	21	13	24	15	60	19	24	37	21	14	18	16	19	27	34	32	8	27	37	14	5	16	29	13	0	13	29	11	28	12	6	20	16	22	40	31	19	38	29	26	29	15	51	37	19	40	28
5:Del:R:1	0	1	2	0	0	0	1	0	1	1	2	0	1	6	3	2	23	0	0	4	3	1	2	2	4	0	1	1	1	0	2	2	0	9	1	0	2	0	5	3	0	0	0	2	0	0	2	1	3	0	1	1	1	0	0	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	3	3	3	1	1	0	0	1	1	4	1	0	2	5	1	2	3	0	0	0	2	3	5	0	0	1	0	4	1	1	1	1	3	7	1	3	1	2	3	0	1	2	2	0	3	0	2	1	2	0	2	0	1	2	4	2	2	1	2	2	0	1	4	4	5	0	1	4	1	4	3	3	1	1	2	2	0	0	2	2	2	0	4	1	0	0	0	2	0	1	3	4	1	3	5	0	5	3	0	0	6	0	0	1	2	2	0	1	3	5	0	0	2	3	3	2	1	0	1	2	1	1	2	0	1	6	6	0	2	4	1	0	0	5	1	0	2	16	1	1	1	0	2	1	1	0	2	0	2	2	0	1	0	0	0	2	0	4	1	0	2	0	1	0	0	2	4	3	1	3	0	2	4	3	2	1	1	1	3	3	1	0	0	1	0	1	2	0	1	5	1	0	3	0	1	2	2	2	0	3	2	0	0	3	1	1	0	1	0	5	0	2	5	0	4	1	2	1	0	1	0	4	0	1	1	1	4	3	1	1	1	0	0	0	1	3	2	4	1	2	0	4	2	0	3	1	20	3	4	1	4	1	0	1	2	1	1	0	3	1	3	1	0	0	1	1	3	0	0	2	1	3	1	3	6	3	1	4	4	0	0	3	3	7	0	1	0	11	0	1	1	3	2	4	4	2	1	4	0	2	0	1	3	0	3	1	4	0	0	0	2	0	0	1	2	0	0	1	3	0	3	2	0	1	0	0	3	1	2	4	1	0	1	1	0	0	1	3	2	2	4	0	0	0	0	6	1	1	1	4	1	1	0	0	1	1	0	0	2	1	0	1	2	1	0	0	3	11	1	2	0	1	2	0	2	2	1	1	0	3	2	1	1	1	1	1	2	1	4	2	1	2	3	0	3	4	2	1	1	2	1
5:Del:R:2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	11	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	1	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	4	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
5:Del:R:3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	4	3	5	1	3	5	6	13	7	7	2	1	5	2	9	152	6	10	12	5	3	7	10	32	2	12	4	5	4	6	12	2	7	6	3	6	5	10	5	1	7	0	11	0	3	4	8	2	5	5	9	4	6	3	10	12	5	5	0	1	7	5	4	5	3	4	9	2	14	1	2	2	2	8	3	1	0	10	4	6	0	2	2	1	4	4	7	2	11	1	2	4	5	4	2	6	2	5	3	4	8	9	6	8	3	7	9	3	5	0	5	1	9	51	6	8	0	8	2	4	4	5	13	7	7	12	4	5	6	3	7	3	4	6	5	0	1	2	5	5	5	10	6	2	12	4	9	6	6	2	14	5	7	3	5	8	7	2	4	4	4	1	4	3	5	10	7	11	5	9	10	258	220	161	13	139	177	0	196	17	0	231	2	5	5	11	11	4	6	19	6	5	10	6	3	7	7	2	2	8	6	8	1	14	3	12	23	15	5	3	4	5	5	3	3	1	4	9	7	2	4	7	4	1	5	4	6	0	2	20	5	6	7	8	10	6	4	1	4	4	4	7	1	7	1	6	4	6	6	5	1	0	3	5	4	5	5	10	6	7	5	16	0	10	4	7	1	7	22	10	7	1	5	0	4	4	3	3	4	3	5	8	3	4	5	1	1	5	6	6	4	7	4	3	4	8	0	5	2	5	3	5	1	6	5	2	7	9	3	14	0	2	7	3	4	4	6	4	16	9	6	2	7	3	8	0	10	2	8	13	9	3	2	5	8	3	9	13	6	1	4	5	5	7	6	3	13	2	4	5	4	13	6	12	0	0	4	11	8	2	0	5	14	9	2	6	6	8	4	3	8	6	1	8	2	84	6	6	1	9	6	5	6	4	16	2	4	2	3	2	4	2	3	5	8	3	3	4	11	2	1	0	3	10	2	8	9	2	0	9	3	0	2	10	6	4	10	5	8	3	17	10	4	5	4	4	7	0	5	14	7	7	7	6	0	6	5	4	3	5	3	5	5	1	5	1	4	1	7	4	5	7	3	7	5	6	4	12	6	86	4	6	7	13	4	4	3	4	1	11	0	6	7	1	2	10	3	2	2	4	15	7	4	15	5	10	8	36	7	8	8	10	8
2:Ins:R:1	1	2	3	3	2	2	2	2	2	2	5	0	1	2	6	6	73	2	3	2	2	4	4	0	4	4	3	1	1	0	2	6	4	4	2	0	1	1	7	4	2	3	0	1	0	0	5	4	3	1	4	0	1	1	0	2	3	1	3	1	0	7	1	4	1	2	3	1	3	6	3	0	2	1	1	1	2	0	1	1	1	1	3	2	0	7	0	7	3	4	1	4	0	3	2	2	0	2	1	2	0	2	0	1	6	4	7	0	1	2	0	3	0	4	7	4	2	1	4	1	3	2	3	0	4	5	5	2	2	3	3	1	1	5	6	1	1	2	0	6	4	3	3	3	3	2	2	7	3	3	3	4	2	8	7	7	8	4	0	1	2	3	2	2	4	1	2	2	8	3	1	2	74	65	71	3	46	40	0	59	7	0	53	5	6	4	11	8	4	4	5	3	2	3	3	0	5	1	6	2	3	2	2	1	7	0	10	6	3	1	1	1	2	1	3	1	0	2	3	9	0	1	1	2	0	0	1	1	0	2	6	2	3	3	7	0	1	2	6	2	1	3	4	4	5	2	3	3	1	2	1	5	3	3	5	2	2	2	6	2	4	6	3	0	4	2	5	4	2	5	1	4	2	2	0	2	4	2	0	1	0	2	5	6	0	2	2	1	2	2	3	1	0	6	2	0	3	3	6	4	2	2	2	4	2	3	1	5	1	1	1	0	4	1	3	5	4	2	3	6	2	5	3	3	0	2	0	5	0	3	3	3	2	0	3	0	1	4	2	7	0	4	5	2	2	3	2	5	5	3	4	0	2	4	4	1	1	1	2	3	0	0	3	0	0	4	2	5	6	2	4	2	1	4	4	2	20	0	4	4	4	3	6	4	2	4	0	2	0	5	1	1	3	1	1	0	2	2	8	1	1	0	0	2	2	2	4	4	0	0	6	1	0	0	2	1	6	2	6	6	1	3	3	3	1	1	1	2	0	3	2	6	3	5	1	0	2	4	3	1	2	0	1	0	0	5	2	2	1	8	2	4	3	2	1	3	2	2	1	0	22	3	2	0	4	3	0	4	1	2	3	0	3	4	2	2	7	0	3	3	2	5	3	3	3	6	5	3	3	3	5	6	2	5
